Sample,Temp,mean,std
PET-G/F,-7,65.3213,6.2384
PET-G/F,23,100.4190,4.3948
PET-G/R,-7,44.4610,1.8565
PET-G/R,23,39.6080,0.8821
PLA/F,-7,55.9292,1.1066
PLA/F,23,91.1642,1.5193
PLA/R,-7,52.1677,3.6799
PLA/R,23,43.3330,6.1013
