Sample,Plate/Print,mean,std
PET-G/F,Plate,1998.4417,238.6707
PET-G/F,Print,2930.2294,420.8409
PET-G/R,Plate,1753.5965,188.4947
PET-G/R,Print,2899.8418,101.7136
PLA/F,Plate,2803.0138,394.9012
PLA/F,Print,4331.5886,546.5350
PLA/R,Plate,1739.4108,381.3025
PLA/R,Print,4246.2322,737.1565
