Sample,Thick,mean,std
PET-G/F,2,55.2231,0.7537
PET-G/F,4,54.0144,1.2739
PET-G/R,2,49.8479,1.5262
PET-G/R,4,50.5806,2.5757
PLA/F,2,63.5306,1.0823
PLA/F,4,61.5519,1.8432
PLA/R,2,56.3277,1.5310
PLA/R,4,45.8773,2.9010
