Sample,Plate/Print,mean,std
PET-G/F,Plate,80.2000,3.2360
PET-G/F,Print,74.2500,2.1173
PET-G/R,Plate,77.0333,1.1431
PET-G/R,Print,71.1833,0.9806
PLA/F,Plate,81.8500,1.3722
PLA/F,Print,80.7667,2.1924
PLA/R,Plate,77.0500,2.0686
PLA/R,Print,66.3167,4.7072
