Sample,Thick,mean,std
PET-G/F,2,2113.4499,52.0482
PET-G/F,4,2206.9054,78.5765
PET-G/R,2,2139.6075,62.8569
PET-G/R,4,2024.6761,36.3456
PLA/F,2,3077.1030,75.3643
PLA/F,4,3145.8414,85.3068
PLA/R,2,3201.1644,65.2154
PLA/R,4,2530.5266,92.5249
