Sample,Thick,mean,std
PET-G/F,2,4.3874,0.1508
PET-G/F,4,3.6838,0.1088
PET-G/R,2,3.5301,0.2659
PET-G/R,4,4.2706,0.2660
PLA/F,2,3.0068,0.1218
PLA/F,4,2.6629,0.0631
PLA/R,2,2.2576,0.0412
PLA/R,4,2.5419,0.1446
