Sample,Plate/Print,mean,std
PET-G/F,Plate,70.2575,5.5570
PET-G/F,Print,84.3975,7.9181
PET-G/R,Plate,66.1190,3.0428
PET-G/R,Print,92.9700,6.4874
PLA/F,Plate,109.0983,9.3792
PLA/F,Print,103.9973,9.3603
PLA/R,Plate,49.6390,7.5676
PLA/R,Print,43.2611,5.3152
