Sample,Plate/Print,Mean_CA,Std_CA
PET-G/F,Plate,69.78,5.83
PET-G/F,Print,70.12,1.79
PET-G/R,Plate,75.18,3.35
PET-G/R,Print,70.47,4.36
PLA/F,Plate,86.43,3.14
PLA/F,Print,75.42,1.75
PLA/R,Plate,72.11,2.05
PLA/R,Print,73.49,2.75
