Sample,Measurement,Value
PLA filament,1,
PLA filament,2,0
PLA filament,3,
PET-G filament,1,0
PET-G filament,2,
PET-G filament,3,
PLA regranulat,1,1.24587156
PLA regranulat,2,1.276764843
PLA regranulat,3,1.240608654
PET-G regranulat,1,1.197730249
PET-G regranulat,2,1.215293582
PET-G regranulat,3,
