Sample,Measurement,it
PLA/F,1,92.117
PLA/F,2,91.982
PLA/F,3,91.654
PLA/F,4,88.904

PET-G/F,1,97.187
PET-G/F,2,96.360
PET-G/F,3,102.574
PET-G/F,4,105.555

PLA/R,1,43.660
PLA/R,2,48.206
PLA/R,3,50.383
PLA/R,4,36.810
PLA/R,5,37.606

PET-G/R,1,40.433
PET-G/R,2,39.893
PET-G/R,3,39.731
PET-G/R,4,39.879
PET-G/R,5,38.104
